LINE            R1flux        err_1   R2flux       err_2           R4flux      err_4         R5flux       err_5        R6flux      err_6       R2R4flux    err_24 
Ne5_3346A      0.00000      0.00000  4.82700e-15  5.28700e-16  3.48200e-15  3.99200e-16      0.00000      0.00000      0.00000      0.00000  8.30900e-15  9.27900e-16
Ne5_3426A      0.00000      0.00000  1.40300e-14  1.47700e-15  8.18700e-15  8.85700e-16      0.00000      0.00000      0.00000      0.00000  2.22170e-14  2.36270e-15
O2_3727A+      0.00000      0.00000  3.14700e-15  3.84700e-16  1.51600e-15  2.22600e-16      0.00000      0.00000      0.00000      0.00000  4.66300e-15  6.07300e-16
H1r_3798A      0.00000      0.00000  7.59300e-16  1.30930e-16  4.06600e-16  5.76600e-17      0.00000      0.00000      0.00000      0.00000  1.16590e-15  1.88590e-16
H1r_3835A      0.00000      0.00000  1.64900e-15  1.83900e-16  6.94700e-16  8.24700e-17      0.00000      0.00000      0.00000      0.00000  2.34370e-15  2.66370e-16
Ne3_3869A      0.00000      0.00000  1.02900e-14  1.06700e-15  6.12900e-15  6.36900e-16      0.00000      0.00000      0.00000      0.00000  1.64190e-14  1.70390e-15
H1r_3889A      0.00000      0.00000  1.63300e-15  2.00300e-16  9.27700e-16  1.11770e-16      0.00000      0.00000      0.00000      0.00000  2.56070e-15  3.12070e-16
H1r_3970A      0.00000      0.00000  4.05000e-15  4.42000e-16  2.48900e-15  2.61900e-16      0.00000      0.00000      0.00000      0.00000  6.53900e-15  7.03900e-16
S2_4069A       0.00000      0.00000  3.48000e-16  5.68000e-17  0.00000      0.00000          0.00000      0.00000      0.00000      0.00000  3.48000e-16  5.68000e-17
H1r_4102A      0.00000      0.00000  3.55200e-15  3.74200e-16  1.95500e-15  2.13500e-16      0.00000      0.00000      0.00000      0.00000  5.50700e-15  5.87700e-16
He2r_4198A     0.00000      0.00000      0.00000      0.00000  1.42100e-16  4.22100e-17      0.00000      0.00000      0.00000      0.00000  1.42100e-16  4.22100e-17
H1r_4341A      0.00000      0.00000  7.03500e-15  7.38500e-16  3.73100e-15  3.95100e-16      0.00000      0.00000      0.00000      0.00000  1.07660e-14  1.13360e-15
O3_4363A       0.00000      0.00000  2.11900e-15  2.34900e-16  1.12000e-15  1.26000e-16      0.00000      0.00000      0.00000      0.00000  3.23900e-15  3.60900e-16
He1r_4471A     0.00000      0.00000  1.16800e-16  5.16800e-17  1.11600e-16  4.21600e-17      0.00000      0.00000      0.00000      0.00000  2.28400e-16  9.38400e-17
He2r_4542A     0.00000      0.00000  5.02300e-16  6.32300e-17  2.95400e-16  4.05400e-17      0.00000      0.00000      0.00000      0.00000  7.97700e-16  1.03770e-16
N3r_4634A      0.00000      0.00000  1.63500e-16  4.43500e-17      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000  1.63500e-16  4.43500e-17
O2r_4640A      0.00000      0.00000  3.82100e-16  6.62100e-17  1.84100e-16  3.74100e-17      0.00000      0.00000      0.00000      0.00000  5.66200e-16  1.03620e-16
He2r_4686A 5.04200e-16  8.94200e-17  2.01600e-14  2.06200e-15  1.02500e-14  1.05200e-15  3.61300e-16  6.11300e-17      0.00000      0.00000  3.04100e-14  3.11400e-15
Ar4_4711A      0.00000      0.00000  2.99100e-15  3.32100e-16  1.57400e-15  1.72400e-16      0.00000      0.00000      0.00000      0.00000  4.56500e-15  5.04500e-16
