LINE            R1flux        err_1   R2flux       err_2           R4flux      err_4         R5flux       err_5        R6flux      err_6       R2R4flux    err_24 
Ne4_4726A      0.00000      0.00000  3.13900e-16  5.83900e-17  2.12300e-16  3.92300e-17      0.00000      0.00000      0.00000      0.00000  5.26200e-16  9.76200e-17
Ar4_4740A      0.00000      0.00000  2.19500e-15  2.42500e-16  1.19600e-15  1.39600e-16      0.00000      0.00000      0.00000      0.00000  3.39100e-15  3.82100e-16
H1r_4861A  4.47100e-16  6.27100e-17  1.66900e-14  1.70100e-15  8.48300e-15  8.64300e-16  2.27400e-16  4.27400e-17      0.00000      0.00000  2.51730e-14  2.56530e-15
O3_4959A  1.38300e-15   1.71300e-16  5.74000e-14  5.75900e-15  3.07300e-14  3.09100e-15  9.80100e-16  1.24010e-16  3.96500e-16  5.56500e-17  8.81300e-14  8.85000e-15
O3_5007A  4.78600e-15   5.11600e-16  1.71400e-13  1.71870e-14  9.04400e-14  9.07600e-15  3.52900e-15  3.81900e-16  1.46600e-15  1.54200e-16  2.61840e-13  2.62630e-14
He2r_5411A     0.00000      0.00000  1.66100e-15  2.16100e-16  8.86400e-16  1.15640e-16      0.00000      0.00000      0.00000      0.00000  2.54740e-15  3.31740e-16
Cl3_5518A      0.00000      0.00000  2.54600e-16  6.54600e-17  1.51300e-16  4.11300e-17      0.00000      0.00000      0.00000      0.00000  4.05900e-16  1.06590e-16
Cl3_5538A      0.00000      0.00000  2.07500e-16  5.47500e-17  1.04900e-16  3.74900e-17      0.00000      0.00000      0.00000      0.00000  3.12400e-16  9.22400e-17
N2_5755A       0.00000      0.00000  1.33900e-16  3.53900e-17  6.58600e-17  3.35860e-17      0.00000      0.00000      0.00000      0.00000  1.99760e-16  6.89760e-17
He1r_5876A     0.00000      0.00000  8.24800e-16  1.18480e-16  5.05400e-16  6.45400e-17      0.00000      0.00000      0.00000      0.00000  1.33020e-15  1.83020e-16
He2r_6235A     0.00000      0.00000  8.25300e-17  4.32530e-17  6.45400e-17  3.14540e-17      0.00000      0.00000      0.00000      0.00000  1.47070e-16  7.47070e-17
O1_6300A       0.00000      0.00000  1.71000e-16  5.01000e-17  5.41500e-17  3.94150e-17      0.00000      0.00000      0.00000      0.00000  2.25150e-16  8.95150e-17
S3_6312A       0.00000      0.00000  1.31100e-15  1.78100e-16  7.70600e-16  9.50600e-17      0.00000      0.00000      0.00000      0.00000  2.08160e-15  2.73160e-16
He2r_6407A     0.00000      0.00000  9.39000e-17  3.33900e-17      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000  9.39000e-17  3.33900e-17
Ar5_6435A      0.00000      0.00000  5.78900e-16  9.38900e-17  3.30900e-16  5.10900e-17      0.00000      0.00000      0.00000      0.00000  9.09800e-16  1.44980e-16
He2r_6527A     0.00000      0.00000  1.07700e-16  5.67700e-17  8.70000e-17  4.27000e-17      0.00000      0.00000      0.00000      0.00000  1.94700e-16  9.94700e-17
N2_6548A       0.00000      0.00000  2.54200e-15  2.80200e-16  1.60600e-15  1.78600e-16      0.00000      0.00000  3.85700e-17  1.68570e-17  4.14800e-15  4.58800e-16
H1r_6563A  1.93800e-15  2.27800e-16  5.82000e-14  5.85200e-15  3.57800e-14  3.61000e-15  6.98800e-16  9.58800e-17  1.28700e-16  2.88700e-17  9.39800e-14  9.46200e-15
N2_6584A       0.00000      0.00000  8.08300e-15  8.39300e-16  4.54000e-15  4.82000e-16  1.16100e-16  4.06100e-17  1.26900e-16  2.36900e-17  1.26230e-14  1.32130e-15
He1r_6678A     0.00000      0.00000      0.00000      0.00000  1.41700e-16  4.11700e-17      0.00000      0.00000      0.00000      0.00000  1.41700e-16  4.11700e-17
S2_6716A       0.00000      0.00000  1.60500e-15  2.01500e-16  9.32000e-16  1.22200e-16      0.00000      0.00000      0.00000      0.00000  2.53700e-15  3.23700e-16
S2_6731A       0.00000      0.00000  1.51400e-15  1.93400e-16  9.04400e-16  1.09440e-16      0.00000      0.00000      0.00000      0.00000  2.41840e-15  3.02840e-16
